,0,1,2,3,4
0,RandomForestClassifier,2,0.796,0.8327868852459017,0.7819952305246423
1,,3,0.792,0.8300653594771241,0.7770932697403286
2,,5,0.788,0.822742474916388,0.7782856385797562
3,SVM,2,0.724,0.7850467289719626,0.6952835188129306
4,,3,0.72,0.78125,0.6919051404345523
5,,5,0.704,0.7757575757575758,0.6677265500794912
6,LogisticRegression,2,0.588,0.6750788643533123,0.5575649178590356
7,,3,0.592,0.6772151898734177,0.5624668786433493
8,,5,0.6,0.68944099378882,0.5661764705882353
9,ExtraTreesClassifier,2,0.82,0.847457627118644,0.8144541600423955
10,,3,0.824,0.8513513513513514,0.8178325384207736
11,,5,0.828,0.8542372881355931,0.8227344992050875
12,BaggingClassifier,2,0.78,0.8028673835125448,0.7852411234764176
13,,3,0.72,0.7463768115942029,0.7254239533651299
14,,5,0.74,0.7670250896057348,0.7438394276629571
15,DecisionTreeClassifier,2,0.704,0.7482993197278911,0.6951510333863274
16,,3,0.688,0.7328767123287673,0.6801139374668786
17,,5,0.684,0.734006734006734,0.6721648118706943
18,AdaBoostClassifier,2,0.604,0.6621160409556314,0.5924085850556439
19,,3,0.628,0.6782006920415224,0.6202967673555909
20,,5,0.624,0.6824324324324325,0.6108240593534713
21,Basic_LSTM(lookback = 2),2,0.42570281124497994,0.380952380952381,0.45358143257302924
22,,3,0.4112903225806452,0.3177570093457944,0.452279921869738
23,,5,0.508130081300813,0.49372384937238495,0.5301809491293957
24,Basic_LSTM(lookback = 3),2,0.41365461847389556,0.1204819277108434,0.48989595838335337
25,,3,0.5282258064516129,0.5979381443298969,0.5137401495251566
26,,5,0.46747967479674796,0.5435540069686411,0.4521338340730624
27,Basic_LSTM(lookback = 5),2,0.4859437751004016,0.5294117647058824,0.485094037615046
28,,3,0.5282258064516129,0.5714285714285714,0.527682360072742
29,,5,0.483739837398374,0.5096525096525096,0.4899624445203141
30,Conv(lookback = 2),2,0.5060240963855421,0.5287356321839081,0.5141056422569028
31,,3,0.4838709677419355,0.5733333333333334,0.46083383848588944
32,,5,0.45934959349593496,0.5365853658536586,0.4437350631614886
33,Conv(lookback = 3),2,0.5180722891566265,0.5833333333333334,0.5063025210084033
34,,3,0.5241935483870968,0.6242038216560509,0.4917491749174917
35,,5,0.540650406504065,0.6606606606606606,0.49317173096620004
36,Conv(lookback = 5),2,0.5100401606425703,0.5413533834586466,0.5145058023209285
37,,3,0.40725806451612906,0.0,0.5
38,,5,0.491869918699187,0.5980707395498391,0.4593035165585524
39,LSTM(lookback = 2),2,0.5582329317269076,0.6474358974358975,0.529811924769908
40,,3,0.5161290322580645,0.48717948717948717,0.5453626995352596
41,,5,0.524390243902439,0.5482625482625483,0.5319562990781836
42,LSTM(lookback = 3),2,0.5341365461847389,0.6000000000000001,0.5214085634253701
43,,3,0.532258064516129,0.6027397260273971,0.5171415100693744
44,,5,0.540650406504065,0.6220735785953178,0.5187094571526119
45,LSTM(lookback = 5),2,0.5140562248995983,0.575438596491228,0.5044017607042817
46,,3,0.5201612903225806,0.6046511627906977,0.49764262140499765
47,,5,0.508130081300813,0.5328185328185329,0.5151587572550359
